date of data collection: Dec 2021

,a,b,c,d,e,f
240,22.325808242659573,1,sunny,0,1,2
241,30.15249797662793,1,cloudy,1,2,-1
242,35.124957233049116,1,sunny,0,0,-3
243,35.12613934884686,1,cloudy,1,1,2
244,26.421063308461335,1,sunny,1,2,-3
245,16.496158443244887,1,sunny,1,2,3
246,28.38862018134447,1,sunny,0,1,-5
247,25.081989305043066,1,cloudy,0,1,-2
248,30.160080302297942,1,sunny,0,0,-4
249,13.068409822881033,1,cloudy,1,1,-4
250,23.301009687597613,1,sunny,0,0,3
251,28.765905904030596,1,sunny,0,0,-5
252,33.56796582513952,1,sunny,1,2,0
253,26.357891505653228,1,cloudy,0,1,0
254,28.947548271278635,1,sunny,0,1,-5
255,22.234594654530316,1,cloudy,0,0,4
256,33.8726217919822,1,sunny,0,0,-3
257,20.962198573301905,1,sunny,1,2,-2
258,22.00574796387793,1,cloudy,1,2,3
259,41.211011761204844,1,cloudy,1,1,0
260,27.235716827695104,1,sunny,0,0,-3
261,37.40490028880951,1,cloudy,1,1,3
262,35.241591753204766,1,sunny,1,2,3
263,29.995691915982736,1,cloudy,1,2,1
264,29.81506235945357,1,sunny,0,0,-1
265,23.53878028969469,1,sunny,0,0,2
266,13.846773659082293,1,sunny,0,0,-5
267,26.213926046824895,1,sunny,1,2,-1
268,31.122386386464587,1,sunny,0,1,-5
269,25.349612003569586,1,sunny,0,0,-3
270,21.973574944388005,1,cloudy,0,0,-2
271,29.63242878816115,1,sunny,0,1,-1
272,30.004695966530235,1,cloudy,0,0,5
273,39.5733879675849,1,sunny,1,1,2
274,31.441799414960602,1,sunny,1,1,2
275,47.97584111200769,1,sunny,1,2,-4
276,20.362800750270264,1,sunny,0,1,-4
277,34.86899029281431,1,cloudy,1,2,-3
278,24.76219997329608,1,cloudy,1,1,3
279,20.96625650741499,1,cloudy,0,1,1
280,36.76806432766075,1,sunny,0,0,4
281,24.254412870739962,1,sunny,1,2,5
282,23.699159748828816,1,sunny,1,2,-1
283,29.934124590879186,1,sunny,1,1,0
284,36.46059750035139,1,sunny,1,2,1
285,22.84629053197284,1,cloudy,1,1,4
286,30.45282012734552,1,sunny,1,2,-1
287,33.50200711763233,1,sunny,1,1,1
288,42.30467756743478,1,sunny,0,0,-3
289,37.985732641135975,1,sunny,1,1,4
290,19.335490671995885,1,cloudy,1,2,0
291,28.62857726297848,1,cloudy,0,0,5
292,35.1185775628323,1,cloudy,0,0,-4
293,33.50599979171736,1,cloudy,1,2,-4
294,25.438316366720322,1,cloudy,1,1,5
295,28.98906854584774,1,cloudy,1,2,5
296,38.534672646669215,1,sunny,1,1,2
297,16.004367470764354,1,cloudy,0,0,-1
298,34.126061466779596,1,cloudy,1,2,2
299,18.62246561431843,1,sunny,1,1,0
300,30.480952835569244,1,sunny,0,0,-5
301,38.790775794723075,1,cloudy,1,2,-3
302,35.855646496277096,1,cloudy,1,2,-1
303,35.05430765132226,1,sunny,0,1,4
304,38.339065704568476,1,sunny,0,0,-1
305,22.982140619218164,1,sunny,0,0,-3
306,21.570289512776636,1,sunny,0,1,0
307,40.98276487466942,1,cloudy,1,2,5
308,29.387253956774533,1,sunny,1,1,-1
309,17.8020133078228,1,cloudy,0,0,5
310,28.130417889654442,1,sunny,2,2,-2
311,31.17662730286314,1,sunny,1,2,5
312,16.961946656133904,1,sunny,0,1,-4
313,34.53161893212503,1,cloudy,0,1,0
314,26.246764379162503,1,cloudy,1,1,1
315,35.665774429226026,1,cloudy,1,1,5
316,32.49762293761061,1,sunny,0,0,1
317,26.369871293317058,1,cloudy,1,1,-3
318,31.833841127610015,1,sunny,0,1,3
319,21.504385096296698,1,cloudy,1,2,4
320,31.132242735074296,1,cloudy,1,2,1
321,34.3177311121531,1,sunny,1,2,-5
322,34.777611971555224,1,cloudy,0,1,-5
323,29.182676189464065,1,sunny,0,0,-5
324,26.10725122758016,1,cloudy,0,1,4
325,23.224792525265247,1,sunny,1,1,1
326,28.306505350273323,1,sunny,1,2,-1
327,23.96290667144271,1,cloudy,1,1,0
328,20.58548375498506,1,sunny,1,2,-3
329,22.06737391361612,1,sunny,1,2,5
330,24.70684881534227,1,cloudy,0,0,-1
331,17.223481076733794,1,sunny,0,0,-5
332,18.85284491239265,1,cloudy,0,0,1
333,30.886602787929185,1,cloudy,1,2,0
334,31.203084186268388,1,cloudy,1,2,2
335,27.731760170622135,1,cloudy,0,0,-1
336,38.11360836482649,1,cloudy,1,1,-1
337,23.506771385366843,1,cloudy,0,0,-1
338,29.393080317211734,1,cloudy,0,0,5
339,32.15803845826684,1,sunny,1,1,1
340,27.155566508914404,1,cloudy,2,2,-2
341,21.771218345235113,1,cloudy,1,1,-3
342,21.00015340442093,1,cloudy,2,2,-2
343,25.34186437919793,1,cloudy,0,0,-5
344,31.185150898360387,1,sunny,1,2,-1
345,20.599440690395994,1,sunny,0,0,-1
346,34.72518037184961,1,cloudy,0,0,0
347,35.1406230867286,1,cloudy,0,0,5
348,23.82201722305283,1,cloudy,0,0,4
349,35.80196980725912,1,sunny,1,2,-2
350,35.8096156279019,1,cloudy,1,2,4
351,39.99367235897257,1,cloudy,0,1,5
352,36.00731641818277,1,sunny,0,0,-5
353,38.28994507584075,1,sunny,1,2,3
354,31.56700069431268,1,sunny,1,2,4
355,29.05086203356523,1,sunny,2,2,4
356,31.409090950958145,1,sunny,0,1,3
357,22.055514601709856,1,cloudy,0,1,5
358,35.69583866324865,1,cloudy,1,1,-2
359,26.823382484570473,1,cloudy,1,2,4
360,35.21238943558939,1,cloudy,0,0,-3
361,37.81687211903276,1,cloudy,1,1,0
362,35.393335740247366,1,sunny,1,2,-3
363,30.67131060521232,1,sunny,1,1,4
364,27.15909382638542,1,sunny,0,0,-1
365,26.530068747002463,1,cloudy,1,1,5
366,22.165813268826042,1,cloudy,0,0,2
367,20.636916250110808,1,sunny,1,1,-2
368,35.26041857998232,1,sunny,0,0,3
369,34.617763018871536,1,sunny,1,2,4
370,24.116878670242084,1,cloudy,1,2,-5
371,34.72579521246192,1,cloudy,0,0,5
372,26.66626600793619,1,sunny,1,1,-4
373,26.08487868996993,1,sunny,1,2,4
374,22.00919460999217,1,cloudy,2,2,5
375,18.312989027056105,1,cloudy,0,0,-2
376,31.023394070499375,1,cloudy,1,2,5
377,21.63440622954147,1,cloudy,0,0,3
378,22.192849903317896,1,cloudy,0,0,-1
379,29.22981489122334,1,cloudy,0,0,0
380,28.212954851782698,1,cloudy,1,2,2
381,13.406652460096119,1,sunny,0,0,-3
382,29.071121045347393,1,sunny,0,0,2
383,23.03286458900032,1,cloudy,0,0,1
384,34.411953143849715,1,cloudy,1,2,1
385,31.245835724630155,1,cloudy,0,0,5
386,39.02627816357447,1,cloudy,0,1,1
387,30.356526481130544,1,cloudy,1,2,-1
388,23.41572142760491,1,sunny,0,1,0
389,32.37490485480997,1,cloudy,1,2,0
390,30.367716444407453,1,sunny,0,1,1
391,15.886897824157593,1,sunny,0,0,-4
392,41.45954138693065,1,cloudy,1,2,2
393,28.41412011317082,1,cloudy,1,2,-3
394,30.382614011250087,1,sunny,1,2,0
395,21.777995977581934,1,cloudy,0,0,-4
396,26.39104293367673,1,sunny,0,1,-3
397,35.95472284148392,1,sunny,0,1,5
398,27.382521917910196,1,sunny,0,1,0
399,23.98228637676051,1,cloudy,1,1,5
400,26.424382720062127,1,sunny,1,1,4
401,28.314719316917213,1,cloudy,0,0,-3
402,36.714844385168306,1,cloudy,0,1,-2
403,25.504228901834864,1,sunny,0,1,-1
404,24.83450649245443,1,sunny,0,0,-1
405,26.840997330597297,1,sunny,1,2,2
406,34.468950168546435,1,sunny,1,1,-2
407,18.58962664451278,1,sunny,1,1,-3
408,25.01492010527885,1,cloudy,1,2,0
409,27.67967565798116,1,sunny,1,2,-2
410,12.262403355208722,1,cloudy,0,0,-2
411,36.66195405279827,1,cloudy,1,2,1
412,18.902753730004463,1,sunny,0,1,-4
413,29.462875793942835,1,cloudy,0,1,-2
414,24.834943560013066,1,cloudy,0,0,-2
415,28.189067939808464,1,cloudy,1,2,-5
416,24.885100754724398,1,sunny,1,2,3
417,28.049996697821786,1,cloudy,1,1,0
418,32.701951599422884,1,cloudy,0,0,2
419,23.774368970117788,1,cloudy,1,1,4
420,33.5839634030681,1,cloudy,0,1,-5
421,19.44216952422215,1,cloudy,1,1,1
422,33.58400783176024,1,sunny,1,2,1
423,34.85081885182709,1,sunny,1,2,2
424,26.7355448414686,1,sunny,1,1,4
425,24.26711111398431,1,sunny,0,0,-5
426,22.725883190191706,1,cloudy,0,1,-5
427,35.27095405719908,1,sunny,1,2,2
428,33.266352821721256,1,sunny,1,2,-4
429,19.18946937952336,1,sunny,1,2,1
430,37.20642353766939,1,cloudy,0,1,4
431,13.428087576824973,1,cloudy,1,2,-5
432,20.08483633311483,1,sunny,0,1,-4
433,24.467053341045933,1,cloudy,1,1,-2
434,20.456137341320304,1,sunny,1,1,3
435,26.112135641580043,1,cloudy,0,0,-5
436,25.609021990511312,1,sunny,1,2,2
437,24.137818950783203,1,sunny,1,2,1
438,29.145583262334622,1,sunny,1,1,2
439,34.08866549830369,1,sunny,1,1,5
440,22.544983228829903,1,sunny,1,2,3
441,29.514500505134166,1,sunny,1,1,-1
442,30.247396714745676,1,sunny,1,2,3
443,23.127476516646862,1,sunny,1,1,-2
444,19.697713383943547,1,cloudy,0,0,2
445,30.41263800138286,1,cloudy,1,1,-3
446,23.984994688844207,1,sunny,1,2,3
447,27.04751740150195,1,cloudy,1,1,1
448,23.973041399284742,1,sunny,1,2,-3
449,35.33535311694718,1,sunny,0,1,-2
450,35.762028797825586,1,sunny,1,1,-4
451,33.818242929544255,1,sunny,1,2,0
452,32.123291687005675,1,sunny,0,0,0
453,19.47583081625022,1,cloudy,1,1,-5
454,29.637369844997426,1,cloudy,1,1,3
455,35.85720639435121,1,cloudy,0,1,-2
456,21.31484542582957,1,cloudy,1,1,3
457,34.15119302401032,1,cloudy,2,2,1
458,29.64235084346579,1,sunny,1,1,5
459,25.022617491739897,1,sunny,1,1,-5
460,29.968663748899242,1,sunny,0,0,2
461,29.275061921806316,1,cloudy,0,0,1
462,29.80479779041959,1,cloudy,0,1,1
463,30.682339384467177,1,sunny,1,1,5
464,24.83520591911263,1,cloudy,0,0,-3
465,15.449702437521948,1,cloudy,1,1,-4
466,35.048407220408066,1,cloudy,0,0,1
467,35.08687709271488,1,sunny,1,1,5
468,22.87300997024902,1,sunny,1,2,-4
469,17.546747701268238,1,cloudy,2,2,-4
470,20.83946112726842,1,cloudy,1,2,-5
471,32.949829305620675,1,cloudy,0,1,3
472,31.114842892553813,1,sunny,1,2,-1
473,33.05674567205767,1,sunny,1,2,-1
474,18.879686272879027,1,sunny,0,0,-1
475,16.81373263144109,1,sunny,0,0,-5
476,8.500760219010258,1,sunny,0,0,-4
477,25.185163221886782,1,cloudy,1,2,2
478,30.94244445981841,1,sunny,0,1,1
479,40.16842995353466,1,sunny,0,1,2
480,29.23045767397621,1,cloudy,1,2,1
481,24.210693186066777,1,sunny,0,1,3
482,29.945821033528098,1,sunny,0,1,4
483,22.45484972179093,1,sunny,0,0,0
484,31.92129718656452,1,sunny,0,0,3
485,41.087599916901524,1,sunny,0,0,3
486,32.64520765909905,1,cloudy,0,1,-4
487,28.84106734402187,1,cloudy,1,2,-5
488,33.89773118201717,1,sunny,1,2,3
489,26.762498461068475,1,cloudy,0,0,4
490,34.29891853848824,1,sunny,1,1,4
491,25.883465581347817,1,cloudy,1,2,-4
492,47.171876236938694,1,cloudy,1,2,1
493,32.43747255309414,1,cloudy,0,0,5
494,41.010484300644436,1,sunny,0,0,-2
495,20.463785716253394,1,cloudy,1,2,0
496,23.593102569388982,1,sunny,1,1,-1
497,30.2530706881481,1,cloudy,1,1,4
498,34.61947242250233,1,sunny,0,0,3
499,16.396827123002893,1,sunny,0,0,1
500,21.306283242203612,1,sunny,1,2,2
501,23.08545297689222,1,sunny,1,2,-5
502,25.445805357043525,1,cloudy,1,1,-5
503,34.102712492194215,1,sunny,0,0,-4
504,44.45227289331026,1,cloudy,1,2,3
505,39.04158543770966,1,sunny,2,2,5
506,23.973723043575866,1,sunny,1,2,0
507,28.843083265287415,1,cloudy,0,0,-5
508,26.215262319435006,1,sunny,1,1,2
509,28.26466125719913,1,sunny,1,1,-2
510,30.361087837991718,1,sunny,1,2,-3
511,26.96591206044638,1,cloudy,1,2,4
512,23.49475397796166,1,sunny,0,0,-1
513,26.56174324210273,1,cloudy,1,2,5
514,19.82268940906126,1,sunny,0,0,-1
515,48.92720766725933,1,sunny,0,1,5
516,18.874232881298152,1,cloudy,1,2,-2
517,24.703757553423753,1,cloudy,0,0,2
518,20.021704099626586,1,sunny,1,1,-5
519,29.190304663710602,1,cloudy,1,1,-3
520,31.74114988809994,1,cloudy,0,0,-1
521,28.52823336904787,1,cloudy,0,1,-5
522,30.387176963512996,1,cloudy,0,0,-1
523,22.173798803953517,1,sunny,0,0,-5
524,12.519674562603617,1,sunny,0,1,0
525,22.919799949907798,1,sunny,0,0,4
526,33.77290147975601,1,cloudy,1,2,4
527,37.52981563667376,1,sunny,1,2,-5
528,23.94310553841074,1,cloudy,0,1,0
529,27.1313523161376,1,sunny,1,1,-5
530,21.611037306203578,1,cloudy,0,0,0
531,24.871884875682348,1,cloudy,0,0,-4
532,15.060422186313188,1,sunny,0,0,2
533,28.594804798781663,1,cloudy,0,1,5
534,34.62835192942352,1,sunny,1,2,5
535,23.580558987806853,1,sunny,1,1,-4
536,28.202603946477375,1,sunny,0,0,4
537,36.081185772618156,1,sunny,0,0,3
538,18.580942795678972,1,sunny,0,0,4
539,15.50975264177836,1,cloudy,2,2,0
540,23.35803289203824,1,cloudy,0,0,-4
541,24.83961417853382,1,sunny,0,0,2
542,29.63991378313257,1,cloudy,1,2,1
543,35.61355256148359,1,sunny,1,2,3
544,36.66576086611896,1,cloudy,0,0,5
545,34.44601812422618,1,sunny,0,0,0
546,20.50719339903907,1,cloudy,1,1,0
547,20.826923495335773,1,sunny,1,2,-3
548,36.01756407609226,1,cloudy,0,0,0
549,34.99057111380912,1,cloudy,1,2,5
550,15.405397435015058,1,cloudy,1,2,-1
551,23.499711410401773,1,cloudy,0,1,0
552,25.161387820892585,1,cloudy,0,1,0
553,29.730077890288285,1,cloudy,1,1,-5
554,33.61722143974263,1,sunny,1,1,-1
555,35.94092843845568,1,sunny,1,2,0
556,31.195487803999942,1,cloudy,0,0,5
557,40.78595154659539,1,cloudy,0,0,1
558,35.917374024884396,1,cloudy,1,1,-3
559,38.916466866208715,1,sunny,0,1,-2
560,36.54366344086797,1,sunny,1,2,0
561,31.270968013518225,1,cloudy,0,1,3
562,29.15637932085579,1,sunny,0,0,-4
563,26.01151980616639,1,cloudy,1,2,-3
564,20.276038736692026,1,cloudy,1,2,-1
565,25.723083304624424,1,cloudy,2,2,0
566,35.50290788558664,1,sunny,0,0,-5
567,26.552467713217407,1,sunny,1,1,3
568,24.14232397798833,1,cloudy,1,2,2
569,41.93353532065967,1,cloudy,0,0,0
570,37.777135849633154,1,cloudy,1,2,5
571,27.683510673876288,1,cloudy,0,0,1
572,34.8188144391702,1,sunny,1,2,5
573,21.426112614778635,1,cloudy,1,1,0
574,24.35479176705879,1,sunny,1,1,1
575,26.368089913882184,1,sunny,0,0,0
576,25.43942477625775,1,cloudy,0,0,1
577,42.38302347985375,1,cloudy,0,1,4
578,36.103162764759624,1,cloudy,0,0,-2
579,22.92050186366794,1,cloudy,0,0,4
580,32.837772258502554,1,sunny,1,1,-2
581,32.62891208869695,1,sunny,0,0,-5
582,25.018692057906122,1,sunny,0,0,-1
583,34.65887006892403,1,cloudy,0,0,-4
584,33.080055043175214,1,sunny,1,2,-3
585,26.085496102016712,1,sunny,1,2,1
586,30.908777560820894,1,cloudy,1,1,-3
587,41.807233423124465,1,cloudy,0,0,3
588,28.477064066938784,1,sunny,1,2,0
589,28.91911936744759,1,cloudy,0,0,1
590,34.76019464891457,1,sunny,1,1,3
591,25.44945592745959,1,sunny,0,0,-4
592,23.975937398470098,1,sunny,1,2,-1
593,28.78558998158787,1,cloudy,0,0,5
594,28.84487173191743,1,cloudy,0,1,-1
595,24.924737181491906,1,sunny,0,1,3
596,29.151282868096978,1,cloudy,1,2,3
597,29.03897861007975,1,cloudy,0,0,2
598,37.03845214945554,1,sunny,0,0,4
599,30.680355962374,1,sunny,1,1,1
600,17.865525447100318,1,cloudy,1,2,0
601,24.778986367713063,1,sunny,0,0,-5
602,24.374356926940017,1,cloudy,0,0,4
603,23.264221941236237,1,sunny,0,0,4
604,25.44598021770116,1,sunny,0,1,-1
605,25.222624713751696,1,cloudy,0,1,1
606,29.56571653094661,1,sunny,0,0,1
607,33.61304956406874,1,cloudy,1,2,5
608,16.079242553337743,1,sunny,0,0,0
